song_id,description,episode_id,tvshow_id
4647,"Rachel, Ross and Phoebe talking, Phoebe sings her ""version"" of the song, that she thinks is ""hold me close, young Tony Danza""",tt0583634,tt0108778
82627,"Playing in the bar when Monica, Chandler, Rachel, and her two friends are there.",tt0583606,tt0108778
26953,Playing when Rachel hits the jukebox in her fantasy about Chandler.,tt0583606,tt0108778
82628,Joey humming / singing in his head.,tt0583637,tt0108778
66540,"Plays right after the ""Friends"" intro where Ross, Rachel, Janice, Chandler, Joey and Monica are sitting on the couch together before the mattress commerical.",tt0583637,tt0108778
82629,Song Chandler and Phoebe sing at the end.,tt0583609,tt0108778
48288,When they first decide to start playing tough.,tt0583607,tt0108778
82630,"After they trade players, making it girls vs. guys.",tt0583607,tt0108778
82631,Slow-motion final play.,tt0583607,tt0108778
61383,Everyone hums when Rachel serves her last cup of coffee.,tt0583474,tt0108778
333344,Phoebe sees a tree fed into the chipper.,tt0583474,tt0108778
155003,During the Moondance Diner with Rachel & Monica when Rachel meets Mark.,tt0583443,tt0108778
82632,Joey's party,tt0583443,tt0108778
82625,"When the gang listens to Phoebe upstairs, returning from her date with the noisy guy who lives above them",tt0583443,tt0108778
82640,Song Joey sang at his audition.,tt0583506,tt0108778
199662,,tt0583506,tt0108778
220894,,tt0583506,tt0108778
81517,,tt0583506,tt0108778
79069,Ross kisses Chloe before end credits.,tt0583461,tt0108778
256987,,tt0583461,tt0108778
126986,Phoebe sings on stage.,tt0583538,tt0108778
126987,"At the end, Phoebe sings after Leslie steals her song.",tt0583538,tt0108778
126988,,tt0583538,tt0108778
126989,,tt0583538,tt0108778
110711,"Ross, Chandler and Joey out at a club with Chloe.",tt0583487,tt0108778
79069,Ross dances with Chloe while Rachel waits for Ross to call.,tt0583487,tt0108778
31366,Played while Monica and Pete were in Italy at the Pizza shop,tt0583615,tt0108778
219440,When the Director takes off with Kate after Joey wanted to ask her out for a cup of coffee,tt0583654,tt0108778
45009,(0:14) Chandler sings to the chick Joey gifted him.,tt0583590,tt0108778
135632,Joey starts to dance with Mr. Treeger at his apartment.,tt0583576,tt0108778
79131,Joey and Treeger dance on the roof.,tt0583576,tt0108778
108370,Joey and Treeger dance on the roof.,tt0583576,tt0108778
275961,"At the end, Joey and Treeger dance on the roof.",tt0583576,tt0108778
122597,"Playing when Joey, Chandler, and Kathy are in the club.",tt0583529,tt0108778
122598,Playing while Chandler chases Kathy down the street.,tt0583529,tt0108778
123401,,tt0583595,tt0108778
33359,,tt0583444,tt0108778
122599,Played at the beginning of the strip club scene,tt0583525,tt0108778
1385,Emily is at the fake party.,tt0583604,tt0108778
110727,"Phoebe is talking with Joey, discussing the best method to make a sandwich.",tt0583604,tt0108778
122600,Rachel comes in wearing her cheerleader outfit.,tt0583604,tt0108778
9457,,tt0583505,tt0108778
24431,(0:16:43),tt0583618,tt0108778
79614,"(Flashback) Joey, Chandler, and Ross with their duck.",tt0583659,tt0108778
217312,End Credits;The duck sits in a bucket of water.,tt0583659,tt0108778
22415,Joey and Chandler arrive in London.,tt0583566,tt0108778
128306,After Joey gets off the phone with Phoebe he puts the TV on to the theme song to Cheers.,tt0583566,tt0108778
112518,,tt0583566,tt0108778
220804,(0:07),tt0583566,tt0108778
112518,Wedding procession,tt0831991,tt0108778
122602,Ross trying to get people (especially Joey) to dance,tt0583437,tt0108778
331952,,tt0583440,tt0108778
122603,Played at the end when Monica and Chandler exited the closet,tt0583467,tt0108778
113350,Danny's party,tt0583486,tt0108778
197157,Danny's party.,tt0583486,tt0108778
107252,Ross changes the answering machine message in Chandler's apartment after moving in.,tt0583486,tt0108778
78764,At the end,tt0583652,tt0108778
127119,Rachel comes home singing it,tt0583511,tt0108778
100505,Ross is sitting with Elizabeth watching a movie by the same name as the song.,tt0583511,tt0108778
117512,Phoebe seduces Chandler.,tt0583452,tt0108778
80463,"Ross throws a party for his neighbors, which no one attends.",tt0583610,tt0108778
122604,Howard's party.,tt0583610,tt0108778
122605,After Phoebe and Ross left the party and are back in Ross's apartment.,tt0583610,tt0108778
13081,"Playing in the background at Rachel's ""birthday"" party.",tt0583475,tt0108778
103701,Rachel's birthday party.,tt0583475,tt0108778
96960,"Joey tries to figure out how to avoid his grandmother finding out that his ""appearance"" on Law and Order has been cut from the show. Monica tells him not to run away.",tt0583479,tt0108778
34762,"Chandler sings a line from it on the VHS cassette that Joey used to record his ""appearance"" on Law and Order.",tt0583479,tt0108778
122606,"Joey shields Ross from the ""gunshot"".",tt0583639,tt0108778
29456,Joey is driving up to the movie set in Las Vegas.,tt0583524,tt0108778
122607,Rachel dances naked.,tt0583500,tt0108778
25946,"Phoebe, Chandler, and Monica first arrive in Vegas.",tt0583500,tt0108778
32630,Phoebe and Monica talk about Chandler.,tt0583500,tt0108778
77888,Chandler catches Monica having a great time gambling.,tt0583500,tt0108778
112003,"Chandler and Monica see Ross and Rachel coming out of a Vegas chapel, married.",tt0583500,tt0108778
93875,"Monica and Chandler, under the casino table, decide that it's a 'four'",tt0583500,tt0108778
79451,Chandler and Monica decide to get married on the roll of a dice.,tt0831990,tt0108778
133923,Chandler and Monica kiss under the betting table in the casino.,tt0831990,tt0108778
93875,Chandler and Monica decide to get married.,tt0831990,tt0108778
4967,,tt0831990,tt0108778
105375,,tt0831990,tt0108778
257099,,tt0831990,tt0108778
61383,,tt0831990,tt0108778
92691,Joey sings in the car.,tt0583438,tt0108778
34762,Joey sings in the car.,tt0583438,tt0108778
127142,Rach sings when she misunderstands Monica and think Chandler is moving in with both of them,tt0583483,tt0108778
269869,Rach sings when she misunderstands Monica and think Chandler is moving in with both of them,tt0583483,tt0108778
110371,Rachel steals the car keys from Ross and they take a ride in the Porsche,tt0583530,tt0108778
93352,(8:50) Chandler tried but failed to let Joey win at foosball.,tt0756481,tt0108778
113350,Monica and Ross start to dance.,tt0583641,tt0108778
257100,"Monica and Ross try to get screen time, and Joey leaves his energetic dance partner to pursue Janine.",tt0583641,tt0108778
79130,Ross and Monica dance their routine.,tt0583641,tt0108778
114455,Joey kisses Janine at home after the dance party.,tt0583641,tt0108778
87612,"""Fat"" Monica dances in the post-credits scene.",tt0583555,tt0108778
257101,Credits.,tt0583441,tt0108778
102550,Monica is dancing while the credits role at the end of the episode.,tt0583441,tt0108778
85951,Rachel is getting drunk in Joey's Apartment,tt0583442,tt0108778
137135,Monica and Dr. Rogers are having dinner.,tt0583442,tt0108778
86600,Monica and Chandler dancing to the Mixtape he made her.,tt0583570,tt0108778
44846,Janice sings in the mixtape.,tt0583570,tt0108778
91716,Ross and Elizabeth dance on MTV.,tt0583526,tt0108778
101455,Chandler and Joey hug each other.,tt0756482,tt0108778
149674,Joey and Chandler miss each other.,tt0756482,tt0108778
127175,Paul sings in front of the mirror,tt0583466,tt0108778
78764,Final song. Chandler and Monica dancing.,tt0954401,tt0108778
139476,Monica & Chandler dancing.,tt0954401,tt0108778
25268,,tt0583632,tt0108778
17978,,tt0583558,tt0108778
120563,,tt0583558,tt0108778
142260,,tt0583613,tt0108778
18444,Right after Joey appears as Superman,tt0583613,tt0108778
150347,At the end when they light candles.,tt0583613,tt0108778
127295,"The Geller's cousin's wedding reception, Monica confronts her cousin for not inviting her.",tt0583504,tt0108778
120422,The song that got stuck in Phobe's head.,tt0583491,tt0108778
267510,When Rachel plays music from her new chair speakers,tt0583478,tt0108778
169039,Flashback of Monica's surprise birthday party when she gets drunk.,tt0583489,tt0108778
257103,Ross and Joey finally get Ross's car out of its parking spot.,tt0583489,tt0108778
101621,Ross tries to play it on bagpipes. The song is barely recognisable.,tt0583528,tt0108778
268189,Right after Joey's speech during the award ceremony,tt0583522,tt0108778
75701,Cassie flips her hair around.,tt0583556,tt0108778
268191,"When Ross and his cousin are watching ""Logan's Run"" on the couch",tt0583556,tt0108778
18931,Chandler and Monica arrive in Vegas.,tt0583516,tt0108778
101534,[Live cover version] Chandler's father performs the song during his/her show in Vegas.,tt0583516,tt0108778
101535,[Live cover version] Chandler's dad performs it during the show in Vegas.,tt0583516,tt0108778
110371,Rachel gets pulled over and flirts with the officer to get out of the ticket.,tt0583516,tt0108778
269870,"[Live cover version] In Las Vegas, Chandler's father performs during the drag queen show.",tt0583516,tt0108778
133924,[Instrumental version] Chandler walks down the aisle.,tt0583532,tt0108778
257107,Monica walks down the aisle.,tt0583532,tt0108778
200239,[Instrumental] At the end.,tt0583532,tt0108778
148327,Monica and Chandler's first dance,tt0583435,tt0108778
80422,Ross lets the first girl dance on his shoes,tt0583435,tt0108778
301290,The second girl dances on Ross's feet.,tt0583435,tt0108778
301291,Ross dances with Gurt.,tt0583435,tt0108778
301292,Joey and Mona help Ross off the dance floor.,tt0583435,tt0108778
85647,Chandler sings in the beginning of the episode,tt0583476,tt0108778
31435,"Rachel walks in the coffeehouse, while Ross talks to Mona. After she sees this, she walks out of the coffeehouse.",tt0583548,tt0108778
421,End of the episode as Rachel walks into coffee shop.,tt0583548,tt0108778
182243,The ringtone on Phoebe's phone,tt0583648,tt0108778
91489,Monica strips for Chandler.,tt0583650,tt0108778
168887,Phoebe curses at losing the Mrs. Pacman game in front of Ben.,tt0583454,tt0108778
81969,Chandler takes a bath.,tt0583446,tt0108778
268364,(0:18) Chandler finds out what's in Monica's secret closet.,tt0583644,tt0108778
12478,Scene cuts to Monica & Chandler's apartment.,tt0583578,tt0108778
182053,The song that Chandler sings while he's putting the CDs in the right cases,tt0583651,tt0108778
302991,People are dancing to the Bunny Hop,tt0583499,tt0108778
330864,Joey's premiere.,tt0583473,tt0108778
78612,In the end of the episode when joey picks up ross's ring and turns towards rachel but rachel thinks that joey is proposing her and she says yes.,tt0583471,tt0108778
87733,Ross and Rachel hold Emma Geller-Green,tt0583472,tt0108778
78612,Joey accidentally proposes to Rachel.,tt0583472,tt0108778
127858,Beginning.,tt0583463,tt0108778
280210,Chandler sings a part of the chorus when he enters his hotel room after coming back from his new office in Tulsa.,tt0583645,tt0108778
173823,Male nanny playing flute,tt0583627,tt0108778
85664,Rachel and Ross sing to Emma to make her laugh.,tt0583561,tt0108778
16636,Ross and Rachel trying to calm little Emma.,tt0583561,tt0108778
148141,Phoebe tells a story for Joey.,tt0583518,tt0108778
91147,Rachel opens Phoebe's box and finds rats.,tt0583540,tt0108778
325918,Ross sees Gavin kissing Rachel.,tt0583540,tt0108778
23254,Chandler sings; End Credits.,tt0583540,tt0108778
91145,Song Phoebe sang at the piano bar,tt0583460,tt0108778
91146,Song Monica sang,tt0583460,tt0108778
20853,Also sung by Monica,tt0583460,tt0108778
21658,Song Chandler sang,tt0583460,tt0108778
91147,Joey enters Rachel's room for Hugsy.,tt0583628,tt0108778
83894,"Rachel decides to tell Joey that she has feelings for him, but finds him kissing Charlie instead.",tt0583646,tt0108778
162783,(15:00) Ross is talking with Charlie at the party on the rooftop.,tt0583646,tt0108778
82332,Joey goes to find Rachel after he sees Ross kissing Charlie.,tt0583497,tt0108778
82332,When Joey kisses Rachel at the very end of the episode,tt0583498,tt0108778
138084,,tt0583436,tt0108778
37591,Ross visits Monica and Chandler after spraying; Chandler jokes that he is both Ebony and Ivory.,tt0583564,tt0108778
179692,,tt0583432,tt0108778
134549,Sarah reaches for Joey's fries on their first date.,tt0583432,tt0108778
630,Monica and Rachel dance at Ross' college party,tt0583445,tt0108778
26703,Stripper dances for Phoebe at her party.,tt0583494,tt0108778
19165,Second song used by the stripper,tt0583494,tt0108778
52479,Flashback to when Chandler and Ross are at a college party.,tt0583494,tt0108778
52397,Monica and Rachel dance at Ross' college party.,tt0583494,tt0108778
43561,Fat Monica dances during the end credits.,tt0583494,tt0108778
91143,In NBC's promos for Phoebe's wedding,tt0583542,tt0108778
52973,Played on steel drums at Phoebe's wedding.,tt0583542,tt0108778
91144,Played on steel drums at the wedding.,tt0583542,tt0108778
244755,Ross and Rachel kissing after the trip to Paris is canceled.,tt0583550,tt0108778
14845,(0:29) Ross and Phoebe find out Rachel is at a different airport.,tt0583433,tt0108778
87584,Trailer.,tt4932378,tt4052886
93120,"(FOX) ""Hot As Hell"" Trailer Promo.",tt4932378,tt4052886
95456,Trailer.,tt4932378,tt4052886
98995,Amazon Prime Trailer.,tt4932378,tt4052886
98996,Amazon Prime Trailer.,tt4932378,tt4052886
98994,Trailer.,tt4932378,tt4052886
95596,"Trailer, at the end.",tt4932378,tt4052886
21069,"Beginning, on the car radio as a cop stops Lucifer; (repeats) At the end, Lucifer leaves LUX and goes to Linda’s.",tt4932378,tt4052886
111730,Opening Titles.,tt4932378,tt4052886
22483,(0:03) Lucifer enters his club. ,tt4932378,tt4052886
29408,Delilah and Lucifer talk.,tt4932378,tt4052886
27421,Lucifer on his way to Jimmy's wedding.,tt4932378,tt4052886
58710,(0:13) Lucifer arrives at the wedding.,tt4932378,tt4052886
85511,"(0:15) After leaving the wedding, Lucifer drives to 2Vile's house.",tt4932378,tt4052886
46265,(0:24) Lucifer and Chloe arrive at Trixie's school.,tt4932378,tt4052886
86564,(0:16) Lucifer enters the party at Delilah's ex boyfriend's house. ,tt4932378,tt4052886
97790,(0:34) Delilah's song at the memorial.,tt4932378,tt4052886
85586,(0:31) Lucifer arrives at the film set; (repeats) (0:41) Lucifer returns to LUX from the hospital but is interrupted by Amenadiel.,tt4932378,tt4052886
97805,Trailer.,tt4952848,tt4052886
99965,Trailer.,tt4952848,tt4052886
311447,"Opening. View of LA from the hills, focusing down to a busy block on the Blvd. Lucifer approaches a preacher",tt4952848,tt4052886
93503,"On the street, Lucifer confronts the fake pastor and makes him a believer.",tt4952848,tt4052886
70799,In Lux after Chloe searches Lucifer for a bulletproof vest.,tt4952848,tt4052886
93275,"[Live cover version] At the club, Lucifer plays the piano as Chloe talks to him.",tt4952848,tt4052886
93274,"At the club, Lucifer arrives as Chloe takes pictures of him.",tt4952848,tt4052886
24911,"Lucifer wakes up in bed with two people,",tt4952848,tt4052886
93260,"At the club, a limo arrives at the party, Lucifer and Chloe walk down the street.",tt4952848,tt4052886
45235,"At night, Lucifer drives Nick in his convertible.",tt4952848,tt4052886
6195,,tt4952848,tt4052886
93277,,tt4952848,tt4052886
30905,,tt4952848,tt4052886
93607,"Opening, at the party after a girl jumps into pool; Lucifer makes his way through the crowd.",tt4952852,tt4052886
93608,At the party after Lucifer introduces himself to the cannonball.,tt4952852,tt4052886
93609,"After the argument about phone evidence, Lucifer leaves.",tt4952852,tt4052886
93605,Chloe sees Lucifer getting along with co-workers.,tt4952852,tt4052886
87103,"Lucifer participates in a sting to take down a fixer, Dan.",tt4952852,tt4052886
93610,"At the end, Chloe watches footage of Lucifer on her laptop.",tt4952852,tt4052886
94141,S01E04 'Manly Whatnots' Promo.,tt4952852,tt4052886
29563,Episode 6.,tt4952852,tt4052886
63589,"Opening, Chloe in the shower getting ready for work; Lucifer surprises her.",tt4952842,tt4052886
94138,"City overview. After leaving Chloe's house, Lucifer bursts into Linda’s studio and tells her he has been thrown out of a woman's house",tt4952842,tt4052886
49313,Lucifer and Chloe walk down the tunnel into the Players Club. ,tt4952842,tt4052886
94121,Player opening presentation.,tt4952842,tt4052886
94122,Amenadiel and Mazikeen fight.,tt4952842,tt4052886
89173,Chloe asks about where Lucifer got the dress for her then is hit on by one of the party-goers.  ,tt4952842,tt4052886
88729,Chloe walks into Lucifer's loft to meet him; He surprises her naked.,tt4952842,tt4052886
94140,S01E05 'Sweet Kicks' Promo.,tt4952842,tt4052886
94622,City overview; Lucifer and Maze watch the Benny Choi's fashion show; Lucifer makes out with a model as shots are fired.,tt4952846,tt4052886
56714,Chloe and Lucifer head to the Paddock Bar for drinks; Lucifer punches a cop.,tt4952846,tt4052886
94623,Maze grabs coffee then meets with Amenadiel.,tt4952846,tt4052886
94628,Maze and Lucifer talk; Dan tells Lucifer he has convinced Anthony not to press charges.,tt4952846,tt4052886
94629,Chloe takes Lucifer to visit a couple from the Latin Kings gang.,tt4952846,tt4052886
94627,"At Benny Choi's, Lucifer and Chloe discover Pig Diddy's blood on the floor.",tt4952846,tt4052886
98728,Latin Kings' cars arrive at Yellow Viper's studio and confront Lucifer and Chloe.,tt4952846,tt4052886
4415,Chloe drives off without Lucifer; Lucifer makes a toast to Maze for saving him at LUX; Maze watches as Chloe sleeps at her home.,tt4952846,tt4052886
95297,"[On-screen performance] At LUX, Lucifer performs; A security guard questions a delivery guy.    ",tt4952858,tt4052886
22893,Maze bears two Brittney's for Lucifer but is interrupted when he tells her he has a case to work with Chloe. ,tt4952858,tt4052886
95564,"At LUX, Dan asks Maze for their financial records; She knocks him out.",tt4952858,tt4052886
95304,Dan returns to LUX to confront Mazikeen.,tt4952858,tt4052886
98768,[Lovers Anonymous Remix] Dan returns to LUX to confront Maze.,tt4952858,tt4052886
95301,Lucifer and Chloe head into a biker bar.,tt4952858,tt4052886
78389,Chloe goes to check on Cutter; Lucifer chases after Remmy.,tt4952858,tt4052886
95308,Lucifer storms out after his therapy session; Lucifer tells Maze his wings have been stolen from the crate.,tt4952858,tt4052886
96334,S01E7 Promo.,tt4952858,tt4052886
97889,In Episode 9,tt4952858,tt4052886
95296,"Wrong song, right one is Black Cloud by Mr Rudy Day",tt4952858,tt4052886
95719,"At LUX, Maze and Sergei stare down one another.",tt4952850,tt4052886
95720,"At Palmetto Street, Lucifer arrives with Chloe and Dan to re-enact Malcolm's shooting.",tt4952850,tt4052886
87471,Lucifer drives to the auction; finds Amenadiel already there.,tt4952850,tt4052886
95721,Lucifer and Amenadiel look around the auction house; Auction begins. ,tt4952850,tt4052886
95725,"At LUX, Lucifer plays as Maze arrives.",tt4952850,tt4052886
95724,Lucifer and Chloe toast to their futures; Malcolm's life support is turned off.,tt4952850,tt4052886
110880,S01E8 Promo.,tt4952850,tt4052886
43682,"Lucifer's birthday party at his club, LUX",tt4952854,tt4052886
96397,"At the bar after Lucifer's birthday party, Chloe and Dan at Malcolm's welcome back party. ",tt4952854,tt4052886
96152,Lucifer's psychiatrist visits LUX and talks to Maze. ,tt4952854,tt4052886
96155,"At LUX, Lucifer confronts Maze.",tt4952854,tt4052886
96427,S01E9 Promo.,tt4952854,tt4052886
77437,"At Lucifer's party, he introduces the pizza delivery guy to young women.",tt4952856,tt4052886
87575,"At LUX, Father Lawrence asks Lucifer for a favor.",tt4952856,tt4052886
96555,Lucifer and Chloe stop by Father Lawrence's church; Lucifer spots a woman headed for the confession booth.,tt4952856,tt4052886
97889,Dancers at LUX dressed as nuns dance; Chloe tells Lucifer about what she found out about the shooter's vehicle.,tt4952856,tt4052886
88484,Father Lawrence tells Chloe and Lucifer about his past.,tt4952856,tt4052886
96562,[On-screen performance] Father Lawrence plays the piano; (repeats) Lucifer plays as Chloe arrives.,tt4952856,tt4052886
99457,[On-screen performance] Lucifer and Father Lawrence play the piano.,tt4952856,tt4052886
96585,[Original version] Lucifer and Father Frank play together,tt4952856,tt4052886
96556,"At the skate park, Lucifer and Chloe try to apprehend the Spider but discover Connor and Ashley dealing drugs.",tt4952856,tt4052886
96559,Lucifer and Chloe look for Father Lawrence; Maze informs Lucifer and Chloe that Connor called her.,tt4952856,tt4052886
96566,[On-screen performance] Chloe and Lucifer play the piano.,tt4952856,tt4052886
96427,S01E9 Trailer; At the end of S01E8.,tt4952856,tt4052886
98773,S01E10 Trailer; At the end of S01E09.,tt4952856,tt4052886
81336,Lucifer seduces a woman.,tt4952862,tt4052886
97019,Montage of Lucifer and Chloe interviewing Chef Javier's staff.,tt4952862,tt4052886
97020,"At LUX, Trixie asks Maze about Lucifer; Chloe arrives and hugs Trixie.",tt4952862,tt4052886
82678,Maze visits Dr. Linda; Chloe and her mom at home.,tt4952862,tt4052886
97028,Maze visits Dr. Linda; Chloe's mom apologizes to her.,tt4952862,tt4052886
97053,"At Lux, Chloe hits on Lucifer. ",tt4952862,tt4052886
97054,S1E11 'St. Lucifer' Promo.,tt4952862,tt4052886
98116,"At Lucifer's, Chloe wakes up naked.",tt4952866,tt4052886
98115,"Lucifer and Maze talking in LUX, Lucifer arrives at crime scene.",tt4952866,tt4052886
98120,"[On-screen performance] At the Tim Dunlear foundation lunch, Lucifer performs.",tt4952866,tt4052886
78599,"At LUX, Chloe and Lucifer.",tt4952866,tt4052886
98122,Lucifer gets dressed for the banquet and is surprised by Malcolm.,tt4952866,tt4052886
77888,Amenadiel and Maze have sex in a car; Vanessa comes to the penthouse to talk to Lucifer. ,tt4952866,tt4052886
98181,"At LUX, Dan runs to stop Malcolm from shooting Lucifer. ",tt4952866,tt4052886
98123,"After Chloe handcuffs Vanessa, Maze and Lucifer reconcile; Lucifer and Chloe talk. Lucifer goes to test his theory at Chloe’s",tt4952866,tt4052886
98100,,tt4952866,tt4052886
97054,,tt4952866,tt4052886
98277,"At the end of S01E11, S01E12 Promo.",tt4952866,tt4052886
90681,Chloe and Lucifer head to the scene of the crime.,tt4952864,tt4052886
98693,Hooded men surround a woman.,tt4952864,tt4052886
98694,Lucifer tells Chloe he'll meet her at Rose's apartment.,tt4952864,tt4052886
98695,Lucifer and Chloe head to the Church of the Dark Prince.,tt4952864,tt4052886
201528,Lucifer tells Linda he doesn't want to stay away from Chloe. Mazikeen and Amenadiel in bed together. ,tt4952864,tt4052886
98100,Lucifer reflects on why people judge him.,tt4952864,tt4052886
99090,Season Finale Trailer; At the end of S01E12.,tt4952864,tt4052886
87700,Lucifer and Amenadiel interrupt Bryan's funeral and question Neil.,tt4952868,tt4052886
99013,"At Tommy's warehouse, Amenadiel and Lucifer fight bad guys. ",tt4952868,tt4052886
99014,Maze heals Amenadiel’s wounds.,tt4952868,tt4052886
99015,Chloe receives a phone call about Trixie; Lucifer uses a police car horn to stop Chloe from leaving without him.,tt4952868,tt4052886
106377,Season 2 Trailer.,tt4952868,tt4052886
97805,Season 2 Trailer.,tt4952868,tt4052886
106850,Season 2 Promo.,tt4952868,tt4052886
97805,Season 2 Comic-Con SDCC Trailer.,tt5615568,tt4052886
106850,Season 2 'Even Lucifer Prays' Promo.,tt5615568,tt4052886
106377,Season 2 Comic-Con SDCC Trailer.,tt5615568,tt4052886
107599,Two robbers attempt to rob a jewelry store; One of the robbers awakens in his underwear with his shoelaces tied together.,tt5615568,tt4052886
107601,"At Lux, Lucifer finds Amenadiel.",tt5615568,tt4052886
107940,Lucifer accuses Amy.,tt5615568,tt4052886
107604,"At Lux, Lucifer watches the crowd as Maze takes out an attacker; Lucifer tells Maze he missed her.",tt5615568,tt4052886
107607,Lucifer admits he is at fault for his mother; Maze at a party; Chloe leaves the office and Check.,tt5615568,tt4052886
94623,"S02E02 'Liar, Liar, Slutty Dress on Fire' Promo.",tt5615568,tt4052886
108769,"Outside Trans Mystique, a dead man is possessed by a demon; Montage.",tt5668562,tt4052886
94623,S02E02 Trailer.,tt5668562,tt4052886
108770,Montage of the city; Lucifer's mom tries on Maze's clothing.,tt5668562,tt4052886
108771,"After handing over his jacket, Lucifer drives with his mom.",tt5668562,tt4052886
203938,Lucifer and Chloe find out Charlotte is married.,tt5668562,tt4052886
108772,"At the apartment, Maze drinks as Lucifer arrives.",tt5668562,tt4052886
108773,"At a tanning salon, Lucifer confronts Victor Perez about Charlotte; Victor's men attack him; Lucifer exposes cocaine in the walls.",tt5668562,tt4052886
116633,"In the parking lot, Lucifer's mother walks with the shopping cart.",tt5668562,tt4052886
84371,Amenadiel observes the damage to his wings; Lucifer's mom brings him food.,tt5668562,tt4052886
108776,"After Lucifer allows her to stay, Charlotte smirks at heaven as she walks into the apartment.",tt5668562,tt4052886
110882,'Lucifers Worst Nightmare' Promo.,tt5668562,tt4052886
109297,Opening. A man apologises for the things he’s done. Lucifer pouring hot wax on a woman,tt5668566,tt4052886
109291,"At the precinct, Dan arrives late to pick up Trixie.",tt5668566,tt4052886
109283,"At a power plant, Lucifer and Chloe arrive at the revenge murder site.",tt5668566,tt4052886
109284,"At LUX, Maze and Linda drink and talk.",tt5668566,tt4052886
